Year,EUROPE,Austria,Belgium,France,Germany, Italy,Netherlands,Spain,Sweden,Switzerland,United Kingdom,CIS ,CIS-Russian Federation,CIS-Other European ,AFRICA, Comoros, Kenya, Malagasy Rep., Reunion Island, Seychelles,South Africa, Zimbabwe, Other African,ASIA, Hong Kong SAR , India, Japan, Malaysia, Peoples' Rep. of China, Singapore, United Arab Emirates, Other Asian,OCEANIA, Australia, Other Oceanian,AMERICA, USA, Canada, Other American,Other & Not Stated,All Countries
1983,45500,580,590,22050,6960,5520,440,100,130,2570,5860,,,700,71370,360,690,8110,30180,560,27150,1730,2590,3350,100,1710,230,10,210,10,,1080,2180,1680,500,1420,1020,210,190,0,123820
1984,53870,530,840,25460,7890,6170,560,230,160,5440,5760,,,830,77150,270,700,7780,32300,340,31560,1800,2400,5050,500,2540,520,20,430,90,,950,1890,1580,310,1710,1130,390,190,0,139670
1985,59920,770,840,27470,8920,6830,260,210,290,6480,7110,,,740,76870,630,780,6710,35630,770,27410,1900,3040,7130,380,2980,650,350,680,980,,1110,2760,2460,300,2180,1460,650,70,0,148860
1986,70000,610,1140,32370,9120,9110,290,190,390,7390,8500,,,890,81130,380,770,6180,40810,790,26680,2740,2780,8660,820,2270,1740,260,920,1360,,1290,2920,2480,440,2600,1780,560,260,0,165310
1987,95490,1070,1400,44200,13780,12240,500,610,390,8180,11790,,,1330,94930,550,1020,7190,47970,1090,30960,2370,3780,10870,1340,2980,1780,210,1490,1020,,2050,3510,3150,360,2770,1880,690,200,0,207570
1988,109640,1090,1810,50240,15130,14960,590,650,630,9080,13780,,,1680,111920,730,1260,6770,56930,1950,35860,2900,5520,12890,1520,4220,2190,520,1470,1340,,1630,2660,2310,350,2150,1470,490,190,0,239260
1989,120600,1360,1630,53660,18210,14470,330,1110,920,10690,16550,,,1670,121090,660,1100,6530,65550,3260,36860,2870,4260,15310,1040,4790,2900,690,730,1990,,3170,2830,2510,320,2960,1890,790,280,0,262790
1990,128840,1490,1920,53170,19680,14180,690,1700,1260,10740,21920,,,2090,135320,700,1440,6550,73310,3500,41860,3670,4290,20410,1740,8190,3220,620,1020,2110,,3510,3520,3060,460,3460,2220,960,280,0,291550
1991,134260,1720,2010,58370,24140,13240,520,1630,950,8930,20660,,,2090,139460,990,1240,6010,77840,3420,43020,3580,3360,20800,1960,8490,3750,890,1230,2010,,2470,3230,2960,270,2920,1720,940,260,0,300670
1992,164660,2120,2510,74330,29800,14990,590,1650,1160,10150,24510,,,2850,141710,1010,1720,7260,81260,4710,39790,2990,2970,20460,1740,8200,3520,1030,1570,1680,,2720,5520,5100,420,3050,1830,820,400,0,335400
1993,193620,3460,3530,85120,38500,15290,770,2090,970,11010,29950,,,2930,149750,930,1070,7740,84960,5420,42350,3460,3820,22670,1330,10740,2540,1180,1490,2770,,2620,4950,4520,430,3640,1790,1340,510,0,374630
1994,229297,4563,4292,106268,41824,18149,955,2597,1605,11453,33295,,,4296,138498,1148,1278,6849,77035,5650,39762,3539,3237,23695,1336,10449,3221,1313,1576,3247,,2553,4448,4160,288,3369,2006,1105,258,1219,400526
